栄養素名,下限値,上限値
総カロリー_エネルギー_kcal,2500,2600
三大栄養素_タンパク質_g,60,125
ビタミン_ビタミンA_μg,600,2700
ビタミン_ビタミンD_μg,8.5,100
ビタミン_ビタミンE_mg,6,850
ビタミン_ビタミンK_μg,150,
ビタミン_ビタミンB1_mg,1.35,
ビタミン_ビタミンB2_mg,1.5,
ビタミン_ナイアシン_mg,14.4,80
ビタミン_ビタミンB6_mg,1.42,55
ビタミン_ビタミンB12_μg,2.4,
ビタミン_葉酸_μg,240,900
ビタミン_パントテン酸_mg,5,
ビタミン_ビオチン_μg,50,
ビタミン_ビタミンC_mg,100,
ミネラル_カリウム_mg,2500,
ミネラル_カルシウム_mg,664.3,2500
ミネラル_マグネシウム_mg,334.8,
ミネラル_リン_mg,1000,3000
ミネラル_鉄_mg,7.1,50
ミネラル_亜鉛_mg,10.62,40
ミネラル_銅_mg,0.81,7
ミネラル_マンガン_mg,3.5,11
ミネラル_ヨウ素_μg,130,3000
ミネラル_セレン_μg,30.8,450
ミネラル_クロム_μg,10,500
ミネラル_モリブデン_μg,30,600
その他_食塩相当量_g,2,7.5
その他_食物繊維 総量_g,19.8,
脂肪酸_n-3系 多価不飽和_g,2.5,
脂肪酸_n-6系 多価不飽和_g,5,
脂肪酸_脂肪酸 飽和_g,,19.4
